# go_id	kind	status	crystal_refs	notes
error.go::method::PageCloseCanceledError.Error	method	missing		auto-generated
error.go::method::PageNotFoundError.Error	method	missing		auto-generated
error.go::method::TryError.Error	method	missing		auto-generated
error.go::method::TryError.Is	method	missing		auto-generated
error.go::method::TryError.Unwrap	method	missing		auto-generated
error.go::struct::CoveredError	struct	missing		auto-generated
error.go::struct::ElementNotFoundError	struct	missing		auto-generated
error.go::struct::EvalError	struct	missing		auto-generated
error.go::struct::ExpectElementError	struct	missing		auto-generated
error.go::struct::ExpectElementsError	struct	missing		auto-generated
error.go::struct::InvisibleShapeError	struct	missing		auto-generated
error.go::struct::NavigationError	struct	missing		auto-generated
error.go::struct::NoPointerEventsError	struct	missing		auto-generated
error.go::struct::NoShadowRootError	struct	missing		auto-generated
error.go::struct::NotInteractableError	struct	missing		auto-generated
error.go::struct::ObjectNotFoundError	struct	missing		auto-generated
error.go::struct::PageCloseCanceledError	struct	missing		auto-generated
error.go::struct::PageNotFoundError	struct	missing		auto-generated
error.go::struct::TryError	struct	missing		auto-generated
hijack.go::method::Browser.HandleAuth	method	missing		auto-generated
hijack.go::method::Browser.HijackRequests	method	missing		auto-generated
hijack.go::method::Hijack.ContinueRequest	method	missing		auto-generated
hijack.go::method::Hijack.LoadResponse	method	missing		auto-generated
hijack.go::method::HijackRequest.Body	method	missing		auto-generated
hijack.go::method::HijackRequest.Header	method	missing		auto-generated
hijack.go::method::HijackRequest.Headers	method	missing		auto-generated
hijack.go::method::HijackRequest.IsNavigation	method	missing		auto-generated
hijack.go::method::HijackRequest.JSONBody	method	missing		auto-generated
hijack.go::method::HijackRequest.Method	method	missing		auto-generated
hijack.go::method::HijackRequest.Req	method	missing		auto-generated
hijack.go::method::HijackRequest.SetBody	method	missing		auto-generated
hijack.go::method::HijackRequest.SetContext	method	missing		auto-generated
hijack.go::method::HijackRequest.Type	method	missing		auto-generated
hijack.go::method::HijackRequest.URL	method	missing		auto-generated
hijack.go::method::HijackResponse.AddHeader	method	missing		auto-generated
hijack.go::method::HijackResponse.Body	method	missing		auto-generated
hijack.go::method::HijackResponse.Fail	method	missing		auto-generated
hijack.go::method::HijackResponse.Headers	method	missing		auto-generated
hijack.go::method::HijackResponse.Payload	method	missing		auto-generated
hijack.go::method::HijackResponse.SetBody	method	missing		auto-generated
hijack.go::method::HijackResponse.SetHeader	method	missing		auto-generated
hijack.go::method::HijackRouter.Add	method	missing		auto-generated
hijack.go::method::HijackRouter.Remove	method	missing		auto-generated
hijack.go::method::HijackRouter.Run	method	missing		auto-generated
hijack.go::method::HijackRouter.Stop	method	missing		auto-generated
hijack.go::method::Page.HijackRequests	method	missing		auto-generated
hijack.go::struct::Hijack	struct	missing		auto-generated
hijack.go::struct::HijackRequest	struct	missing		auto-generated
hijack.go::struct::HijackResponse	struct	missing		auto-generated
hijack.go::struct::HijackRouter	struct	missing		auto-generated
hijack_test.go::test::TestHandleAuth	test	missing		auto-generated
hijack_test.go::test::TestHijack	test	missing		auto-generated
hijack_test.go::test::TestHijackContinue	test	missing		auto-generated
hijack_test.go::test::TestHijackFailRequest	test	missing		auto-generated
hijack_test.go::test::TestHijackLoadResponseErr	test	missing		auto-generated
hijack_test.go::test::TestHijackMockWholeResponse	test	missing		auto-generated
hijack_test.go::test::TestHijackMockWholeResponseEmptyBody	test	missing		auto-generated
hijack_test.go::test::TestHijackMockWholeResponseNoBody	test	missing		auto-generated
hijack_test.go::test::TestHijackOnErrorLog	test	missing		auto-generated
hijack_test.go::test::TestHijackResponseErr	test	missing		auto-generated
hijack_test.go::test::TestHijackSkip	test	missing		auto-generated
input.go::const::KeyActionPress	const	missing		auto-generated
input.go::const::KeyActionRelease	const	missing		auto-generated
input.go::const::KeyActionTypeKey	const	missing		auto-generated
input.go::method::KeyActions.Do	method	missing		auto-generated
input.go::method::KeyActions.Press	method	missing		auto-generated
input.go::method::KeyActions.Release	method	missing		auto-generated
input.go::method::KeyActions.Type	method	missing		auto-generated
input.go::method::Keyboard.Press	method	missing		auto-generated
input.go::method::Keyboard.Release	method	missing		auto-generated
input.go::method::Keyboard.Type	method	missing		auto-generated
input.go::method::Mouse.Click	method	missing		auto-generated
